,movie_name,year,genre,Poster_url,director,cast,overview
106,King of Kotha,2023,"Action, Drama, Thriller",,Abhilash Joshiy,"Dulquer Salmaan, Aishwarya Lekshmi, Soubin Shahir, Ritika Singh","In a crime-infested town, Kannan bhai and his gang are the reigning powers. To combat this reign and seek revenge, Inspector Shahul tactfully plots the return of the 'King', leading to a transformative turn of events."
107,Ek Tha Tiger,2012,"Action, Adventure, Romance",,"Mathur Goswami, Kabir Khan","Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.
108,HIT: The First Case,2022,"Action, Crime, Drama",,Sailesh Kolanu,"Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami","Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost."
109,Singham Again,2024,Drama,,Rohit Shetty,"Kareena Kapoor, Deepika Padukone, Akshay Kumar, Ranveer Singh",Plot under wraps.
110,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama, Romance",,John Madden,"Judi Dench, Maggie Smith, Bill Nighy, Dev Patel","As the Best Exotic Marigold Hotel has only a single remaining vacancy, posing a rooming predicament for two fresh arrivals, Sonny Kapoor (Dev Patel) pursues his expansionist dream of opening a second hotel."
111,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
112,Kill,2023,"Action, Adventure, Drama",,Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan",Follows a passenger on a train to New Delhi. The train soon becomes a combat battleground as a pair of commandos face an army of invading bandits.
113,October,2018,"Drama, Romance",,"Shoojit Sircar, Kuran Dhillon","Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa",A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
114,An Action Hero,2022,"Action, Comedy, Crime",,Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar","Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding."
115,The Vaccine War,2023,"Drama, Thriller",,Vivek Agnihotri,"Nivedita Bhattacharya, Anupam Kher, Girija Oak, Nana Patekar","Based on India's battle against Covid-19, and the efforts the medical department took to overcome the global crisis."
116,Jab We Met,2007,"Comedy, Drama, Romance",,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
117,K.G.F: Chapter 1,2018,"Action, Crime, Drama",,Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois","In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
118,Mimi,2021,"Comedy, Drama",,"Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.
119,Afwaah,2023,"Drama, Thriller",,Sudhir Mishra,"Nawazuddin Siddiqui, T.J. Bhanu, Bhumi Pednekar, Eisha Chopra",An advertising professional and a political heiress whose lives are upended by a viral social media rumour.
120,Godfather,2022,"Action, Crime, Drama",,Mohan Raja,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana","After the death of a political leader, a mysterious man steps in to ascend the throne."
121,Laila Majnu,2018,"Drama, Romance",,Sajid Ali,"Avinash Tiwary, Triptii Dimri, Sumit Kaul, Abrar Qazi","Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels."
122,Ghajini,2008,"Action, Drama, Mystery",,A.R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik",A short-term memory loss patient goes on a killing spree in order to avenge the death of his ladylove.
123,Jab Harry Met Sejal,2017,"Comedy, Drama, Romance",,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Bruce Huther",A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.
124,Barfi!,2012,"Comedy, Drama, Romance",,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
125,Mumbai Meri Jaan,2008,Drama,,Nishikant Kamat,"Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan","A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers."
126,Ludo,2020,"Action, Comedy, Crime",,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal."
127,Haider,2014,"Action, Crime, Drama",,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
128,Mission Majnu,2023,"Action, Drama, History",,Shantanu Bagchi,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain","In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
129,Talaash,2012,"Crime, Drama, Mystery",,"Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie."
130,Ae Dil Hai Mushkil,2016,"Drama, Music, Musical",,Karan Johar,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan","This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak."
131,A Wednesday,2008,"Action, Crime, Drama",,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
132,Wajah Tum Ho,2016,"Drama, Mystery, Romance",,Vishal Pandya,"Sharman Joshi, Sana Khan, Gurmeet Choudhary, Rajneesh Duggal",People get entangled in a mystery when a murder is committed on live television.
133,Raazi,2018,"Action, Drama, Thriller",,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
134,Dil Chahta Hai,2001,"Comedy, Drama, Romance",,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
135,Bye2,2020,"Drama, Romance",,Tanveer Hashmi,"Bhushan, Karan, Vipin Singh, Shreya Tyagi","Story of boy and girl, how relationships change over a period of life and how hard is to say Bye sometimes when you want to end the relationship."
136,Darlings,2022,"Comedy, Drama, Thriller",,Jasmeet K Reen,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew",It follows the lives of two women as they find courage and love in exceptional circumstances.
137,Runway 34,2022,"Drama, Thriller",,Ajay Devgn,"Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati","Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination."
138,Masaan,2015,Drama,,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
139,Sanju,2018,"Biography, Comedy, Drama",,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal","Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life."
140,Govinda Naam Mera,2022,"Comedy, Crime, Drama",,Shashank Khaitan,"Vicky Kaushal, Kiara Advani, Bhumi Pednekar, Renuka Shahane","The very charming Govinda Waghmare juggles his time and love between his wife Mrs. Waghmare and his girlfriend in this dose of chaos, confusion, and laughter."
141,Rockstar,2011,"Drama, Music, Romance",,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
142,Mom,2017,"Crime, Drama, Thriller",,Ravi Udyawar,"Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui","After her daughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free."
143,Kalank,2019,"Drama, Romance",,Abhishek Varman,"Alia Bhatt, Kiara Advani, Sanjay Dutt, Kriti Sanon","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India."
144,Article 15,2019,"Crime, Drama, Mystery",,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
145,Lust Stories,2018,"Drama, Romance",,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap","Kiara Advani, Vicky Kaushal, Bhumi Pednekar, Neil Bhoopalam","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
146,Shehzada,2023,"Action, Comedy, Drama",,Rohit Dhawan,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing."
147,Zero,2018,"Comedy, Drama, Romance",,Aanand L. Rai,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
148,A Thursday,2022,"Drama, Thriller",,Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia","Naina, a playschool teacher, takes 16 students hostage. Rattling the police and the leaders, her demands send shockwaves through the country."
149,Rang De Basanti,2006,"Comedy, Crime, Drama",,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
150,Rocketry: The Nambi Effect,2022,"Biography, Drama",,Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
151,Dilwale,2015,"Action, Comedy, Drama",,Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart."
152,Jug Jugg Jeeyo,2022,"Comedy, Drama, Family",,Raj Mehta,"Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh",Two couples from different generations confront their issues after marriage.
153,Gully Boy,2019,"Drama, Music, Romance",,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz",A coming-of-age story based on the lives of street rappers in Mumbai.
154,Chennai Express,2013,"Action, Comedy, Drama",,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer",A man travelling to Rameshwaram via Chennai express in order to immerse his late grandfather's ashes finds himself in trouble after helping a don's daughter and her cousins board the train.
155,War,2019,"Action, Adventure, Thriller",,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana","Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins."
156,Shershaah,2021,"Action, Biography, Drama",,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri","Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
157,Student of the Year 2,2019,"Action, Comedy, Drama",,Punit Malhotra,"Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy."
158,Qala,2022,"Drama, Music",,Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial","Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her."
159,Talvar,2015,"Crime, Drama, Mystery",,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
